"areaCode","name"
"1000901","麥寮鄉、臺西鄉、東勢鄉、褒忠鄉、土庫鎮、虎尾鎮、四湖鄉、元長鄉、口湖鄉、水林鄉、北港鎮"
"1001401","臺東市、成功鎮、關山鎮、卑南鄉、鹿野鄉、池上鄉、東河鄉、長濱鄉、太麻里鄉、大武鄉、綠島鄉、海端鄉、延平鄉、金峰鄉、達仁鄉、蘭嶼鄉"
"1001501","花蓮市、新城鄉、秀林鄉、吉安鄉、壽豐鄉、鳳林鎮、光復鄉、豐濱鄉、萬榮鄉、瑞穗鄉、玉里鎮、富里鄉、卓溪鄉"
"1001701","中正區、信義區、仁愛區、中山區、安樂區、暖暖區、七堵區"
"1001801","東區、北區、香山區"
"6300003","中山區、松山區*"
"6300004","內湖區、南港區"
"6300006","大安區"
"6300007","松山區*、信義區"
"6300008","中正區*、文山區"
"6500001","石門區、三芝區、淡水區、八里區、林口區、泰山區"
"6500007","板橋區*"
"6500008","中和區*"
"6500009","中和區*、永和區"
"6500012","金山區、萬里區、汐止區、平溪區、瑞芳區、雙溪區、貢寮區"
"6600004","西屯區、南屯區"
"6600005","北屯區、北區"
"6600006","西區、中區、東區、南區"
"6800001","蘆竹區、龜山區、桃園區*"
"6800002","大園區、觀音區、新屋區、楊梅區"
"6800003","中壢區*"
"6800004","桃園區*"
"6800005","平鎮區、龍潭區"
"6800006","中壢區*、八德區、大溪區、復興區"
